TAG	CATEGORY	NOTES / TRANSLATION
ユニコーン(アズールレーン)	©	Unicorn (Azur Lane)
ユウナ	©	Yuna
モンハン擬人化		Monster Hunter anthropomorphism
モバマス		Mobamas
モノクロ		Monochrome
メカ少女		Mecha Girl
メイド影狼ちゃん		Maid Kagerou-chan
メイドミルク	costume milk	Maid milk
ミルク	milk	Milk
ミミロップ		Mimilop
マーキング		Marking
マリー・ローズ	©	Marie Rose
マリィ(Diesirae)	©	Marie (Dies irae)
マスコットキャラクター		Mascot character
マケイン	©	McCain
ボディコン		Bodycon
ボタン(ポケモン)	©	Botan (Pokemon)
ホムラ(ゼノブレイド2)	©	Homura (Xenoblade Chronicles 2)
ペルソナ		Persona
ベビードール		Baby Doll
ブローニャ・ランド		Bronya Land
ブレザー		Blazer
フワワ・アビスガード		Fluffy Abyss Guard
フラワーナイトガール		Flower Night Girl
フェティッシュ		Fetish
フィストファック	pussy insert	Fist fuck
フィスト	insert	Fist
ファイアーエムブレム風花雪月	tm	Fire Emblem Three Houses
ファイアーエムブレム覚醒	tm	Fire Emblem Awakening
ヒカリ(ゼノブレイド2)	©	Hikari (Xenoblade Chronicles 2)
パンティ		Panties
パチュリー・ノーレッジ		Patchouli Knowledge
パズドラ	tm	Puzzle & Dragons
パイオツ・オイゲン		Piots Eugen
バーコード		Barcode
バイオハザード		Biohazard
ハミ乳	tit	Hami breasts
ハイアングル		High angle
ノーパン前垂れ		No panties hanging in front
ネロ・クラウディウス(Fate)	©	Nero Claudius (Fate)
ニンフィア		Nymphia
ニェン(アークナイツ)	©	Nian (Arknights)
ナンジャモ(トレーナー)	©	Nanjamo (Trainer)
ナルト		Naruto
ナツメに定評のある作者		Author with a reputation for jujube
ドリームクラブ		Dream Club
ドラゴンボール	tm	Dragon Ball
ドラコケンタウロス		Draco Centaur
ドキドキ!プリキュア		Doki Doki! Precure
ドSビッチアヤちゃん		Sadistic Bitch Aya-chan
トウコ		Touko
デンジャラス・ビースト		Dangerous Beast
ディシア		Disia
テニスウェア		Tennis wear
ツンデレ		Tsundere
ダイナミックパンチラ		Dynamic panty shots
ソーサレス	©	Sorceress
ソフィア(グラブル)	©	Sophia (Granblue Fantasy)
ソウルワーカー		Soul Worker
ソウルキャリバー		Soul Calibur
セルフ胸タッチ	tit	Self breast touch
セミリアル		Semi-real
ズリキチ		Zurikichi
スーツ		Suit
スマブラ		Smash Bros.
スパイ教室		Spy Classroom
スケスケ		See-through
スカート		Skirt
スカジ(アークナイツ)	©	Skadi (Arknights)
スイートプリキュア		Sweet Precure
スイレン(トレーナー)	©	Lana (Trainer)
ジータ		Gita
ジャヒー様はくじけない!		Jahi-sama won't give up!
ジト目		Spotted eyes
ジェシー(FF7)	©	Jessie (FF7)
シーメール		Shemale
シンデレラ(勝利の女神:NIKKE)	©	Cinderella (Goddess of Victory: NIKKE)
サンタガール		Santa Girl
サイドテール		Side tail
サイトウ(トレーナー)	©	Saito (Trainer)
サイズフェチ		Size fetish
ゴッドイーター		God Eater
ゴスロリ		Gothic Lolita
コルセット		Corset
コヤンスカヤ		Koyanskaya
ケモ交尾		Chemo mating
クーデリア・藍那・バーンスタイン	©	Kudelia Aina Bernstein
クロスオーバー		Crossover
クイーンズブレイド	tm	Queen's Blade
ギルドの受付嬢ですが		I'm the receptionist at the guild.
キャロット		Carrot
キャミソール		Camisole
キメセク		Kimeseku
ガーターリング		Garter ring
ガンダムビルドファイターズトライ	tm	Gundam Build Fighters Try
エーフィ		Effie
エンジェウーモン	©	Angewomon
エレシュキガル(Fate)	©	Ereshkigal (Fate)
エミリア(リゼロ)	©	Emilia (Re:Zero)
エプロン		Apron
エニット		Enit
エアリス	©	Aerith
ウサ子さん	©	Usako-san
インプラカブル(アズールレーン)	©	Implacable (Azur Lane)
イマラチオ	throat	Deepthroat
イケメン女子		Handsome girl
アンチラ		Anchira
アレクサンドリナ・セバスチャン	©	Alexandrina Sebastian
アルメイダ	©	Almeida
アルトリア・ペンドラゴン	©	Artoria Pendragon (Lancer)
アリス・ギア・アイギス	©	Alice Gear Aigis
アメスク		Amescu
アニラ		Anila
アニぱい	tit	Anime breasts
アナルバイブ	anal toy	Anal vibrator
アナスタシア(シンデレラガールズ)	©	Anastasia (Cinderella Girls)
アトラ・ミクスタ		Atra Mixta
アスカ・ラングレー	©	Asuka Langley
アクダマドライブ		Akudama Drive
アカネ(ポケモン)	©	Akane (Pokemon)
アイシャドウ		Eyeshadow
よそのこ		Somewhere else
ゆんゆん(このすば)	©	Yunyun (Konosuba)
ゆかぱい		Yukapai
やはり俺の青春ラブコメはまちがっている。		My youth romantic comedy is wrong after all.
ほのか(DOA)	©	Honoka (DOA)
ほのか	©	Honoka
ぷにまん		Puniman
ぶれぶる		Breble
ぶちアングル		Tabby angle
ふんどし娘		Loincloth girl
ひっかけ立ちション		Hikake standing
ぱんちら		Pantyra
ぱっくり背中		Big back
はだけ	foot-	Bare
ちんキス		Chin kiss
せんずり		Sensuri
しゃがみパンチラ		Crouching panty shot
さくらみこ	©	Miko Sakura
けしからんおっぱい	tit	Indecent breasts
かわいそうはかわいい		Poor people are cute
からかい上手の高木さん	©	Takagi-san is good at teasing
かっぱい		Kappai
お腹ナデナデ		Stomach Nadenade
お品書き		Menu
おねしょ	uro	Bedwetting
おしっこぶっかけ	uro cum	Pee bukkake
おしっこがまん	uro	Hold your pee
おさげ		Pigtails
おかっぱ		Bobbed hair
うさみみ		Usamimi
うさぎ		Rabbit
うがい		Gargle
あけおめ		Happy New Year
あきつ丸		Akitsumaru
shibari	bond	shibari
sex		sex
ranma	©	ranma
patreon		patreon
pantypoop	sca	panty poop
pantyhose		pantyhose
milf		milf
lolicon	loli	lolicon
kokomi		kokomi
iDOLM@STER		iDOLM@STER
humiliation		humiliation
huge_breasts	tit	huge_breasts
highschooldxd		highschooldxd
guro	guro	guro
gif		gif
fate	tm	fate
destinychild		destinychild
closers		closers
chisa		chisa
chainsawman		chainsawman
cat		cat
bikini	swim	bikini
amputee		amputee
V字開脚		V-shaped legs
VRChat		VRChat
ToLOVEるダークネス		To LOVE Ru Darkness
Sona		Sona
Rkgk	content	Rkgk
Panty&StockingwithGarterbelt	tm	Panty&Stocking with Garterbelt
PVC		PVC
PSO2	tm	PSO2
PSO	tm	PSO
POV		POV
NINJA		NINJA
Hololive	tm	Hololive
G3F		G3F
Fate/Apocrypha	tm	Fate/Apocrypha
FF6	tm	FF6
FE覚醒	tm	FE Awakening
Elysia		Elysia
Elsword		Elsword
D|S		D|S
DQ11	tm	DQ11
DQ10	tm	DQ10
DEADORALIVE	tm	DEADORALIVE
D.Va		D.Va
COMIC1☆10		COMIC1☆10
COMIC1		COMIC1
CMNF		CMNF
CM3D2		CM3D2
C97	event	C97
C103	event	C103
Blender		Blender
BWC		BWC
BUKKAKE		BUKKAKE
BB	©	BB
Arlecchino		Arlecchino
Ai	ai	Ai
AI修正	ai	AI modification
AI-assisted	ai	AI-assisted
4P		4P
2番艦はスケベボディ		The second ship has a lewd body
창작	oc	Original / Original work
우고이라		Review
오예신나는데		Important
리그오브레전드		League of Legends
롤		League of Legends
던파		DFO / Dungeon & Fighter
거유		Large breasts / Big breasts
龍驤	©	Ryujo
龍田		Tatsuta
鼻血		Nosebleed
黒姫士アイアンドレス		Kurohimeshi iron dress
鷹富士茄子		Takafuji eggplant
鷲掴み		Eagle grab
魔砲使い黒姫		Magic Cannon User Kurohime
魔法科高校の劣等生		The Irregular at Magic High School
魔女の旅々		Witch's Journey
魅惑的大腿		Fascinating thighs
魅惑の太もも		Enchanting thighs
鬼神童子ZENKI		Kishindouji ZENKI
高潮		Storm tide
高木命	©	Takagi Mikoto
高木さん(からかい上手の高木さん)	©	Takagi-san (Takagi-san, the Master of Teasing)
高巻杏		An Takamaki
驪駒早鬼		Rokoma Saki
騎乗		Riding
馬乗り		Horseback riding
馬ディルド		Horse dildo
香風智乃		Kofu Chino
飲精	cum	Ejaculation
食べ物		Food
食い込み直し		Re-adjustment
顔射待ち	cum	Waiting for facial cumshot
顔を埋めたい尻	ass	The butt you want to bury your face in
頬ズリ		Cheek slippage
鞭打		Flaglash
靴舐め	tongue	Shoe licking
露出癖		Exhibitionism
霧雨魔理沙		Kirisame Marisa
霞ヶ丘詩羽	©	Utaha Kasumigaoka
電(艦隊これくしょん)	©	Den (Fleet Collection)
雪泉		Yukisen
雨女		Rain Woman
雨		Rain
陸上部		Track and field club
阿蕾奇诺		Abi's strange story
阮梅		Ruan Mei
閲覧注意		Caution when viewing
長離		Long distance
鎖貫通	sm insert	Chain penetration
鍵山雛		Kagiyayama Hina
銀髪碧眼		Silver hair, blue eyes
鉛筆		Pencil
鈴鹿御前〔サンタ〕	©	Suzuka Gozen [Santa]
鈴仙・優曇華院・イナバ		Suzusen/Udunkain/Inaba
金髪ツインテール		Blonde twintails
金剛		Kongo
量産C型		Mass production C type
配信		Delivery
逸見エリカ		Erika Hemi
連行		Take away
連結錠		Connected lock
透明水着	swim expose	Transparent swimsuit
透明感		Transparency
透明		Transparent
近江彼方		Beyond Omi
蹲踞		Crouching
踊りこころ		Dancing heart
赤髪ロング		Long red hair
赛飞儿		Flyer
贫乳	tit-	Breasts
賢者向け		For wise people
貧乳から出る母乳	flat milk	Breast milk from small breasts
貞操観念ゼロ		Zero concept of chastity
誘ってやがる		Invite me
認識阻害		Recognition inhibition
触手姦		Tentacle rape
見返り美人		Beauty in return
見返り		Reward
見えそうで見えない		I think I can see it, but I can't see it
西城樹里		Juri Saijo
西住みほ		Nishizumiho
西住まほ	©	Maho Nishizumi
褐色白髪		brown gray hair
複根		Multiple roots
裸包帯		Nude bandage
裸マント		Naked cloak
裸パーカー		Naked hoodie
衣装チェンジ		Costume change
蜜蜂の館		Honey House
虚構推理		Fictional reasoning
虚拟主播		Urokishuban
虎娘		Tiger girl
蔚蓝档案		Urban School Plan
蒸れ		Stuffy
葛飾北斎	©	Katsushika Hokusai
荧		Fluorescent
若葉睦		Mutsumi Wakaba
花魁		Oiran
花火(スターレイル)	©	Hanabi (Star Rail)
艶ぼくろ		Glossy black
色白		Fair skin
艦々バニー		Kansan Bunny
舌射待ち	tongue cum	Waiting for tongue ejaculation
舌なめずり	tongue	Tongue licking
膝の上に座る		Sit on your lap
腿		Thighs
腹パンチ		Belly punch
脳姦		Brain rape
脱いだ服		Removed clothes
能代	©	Noshiro
胸部		Chest
胸見せ	tit	Showing breasts
胶衣		Ei
胡桃(原神)	©	Kurumi (Genshin)
背面駅弁		Back Ekiben
背面座位	back-	Back sitting position
背	back-	Back
股間アップ		Crotch up
股神様		Crotch God
股のぞき		Thigh peek
肛門性器臭いフェチ	anal sca-	Anal genital odor fetish
肉奴隷		Meat slave
聖乳	milk	Holy Milk
羽衣狐		Hagoromo Fox
羽川ハスミ(体操服)	©	Hasumi Hanekawa (Gym Uniform)
義城蜜魅	©	Mitsumi Yoshiro
美巨乳	tit	Beautiful big breasts
美人		Beauty
美しい		Beautiful
羊		Sheep
练习		Learning
縦セタ		Vertical Seta
縞ビキニ	swim	Striped bikini
縞ニーソ		Striped stocking
紫髪		Purple hair
紅花崗の淚		The Tears of Benihanagang
紅美鈴		Beni Misuzu
精子タンク空っぽ	cum	Sperm tank empty
童田明治	©	Meiji Doda
竜華キサキ	©	Ryuuka Kisaki
竜胆尊		Ryudoson
立ちオナニー	mast	Standing masturbation
空井サキ	©	Saki Sorai
空(原神)	©	Sora (Genshin)
穴あきコンドーム		Perforated condom
種噴き		Seed spray
種付け		Seeding
秦こころ		Kokoro Hata
秋宮沙也香		Akimiya Sayaka
神楽		Kagura
神月かりん	©	Karin Kamizuki
神撃のバハムート		Rage of Bahamut
短髪		Short hair
着衣オナニー	mast	Clothed masturbation
着替え		Change of clothes
着せ恋		Kimono love
看板娘【白羽るみ】		Signboard girl [Rumi Shiraha]
盗撮		Voyeurism
的場梨沙	©	Risa Matoba
白雪巴	©	Shirayuki Tomoe
白濁液		Cloudy liquid
白ビキニ	swim	White bikini
白スト		White strike
白スク水	swim	White school swimsuit
痣		Bruise
疑似排泄		Pseudo excretion
異種和姦		Interspecies Japanese sex
異界探偵ミソギ		Otherworld Detective Misogi
男性受け		Male reception
男子トイレ	toilet	Men's restroom
男子おっぱい	tit	Boy's breasts
田舎		Countryside
甘ブリ		Amaburi
瓦雷莎	©	Raika Kawara
瑞鶴(艦隊これくしょん)	©	Zuikaku (Kantai Collection)
玉揉み		Ball massage
獸耳	fantasy	Animal ears
獣耳ロリ調教記	loli	Animal ear loli training record
猫口	mouth	Cat mouth
狼と香辛料		Spice and Wolf
狩人ベラ		Hunter Bella
狐坂ワカモ		Kitsunesaka Wakamo
狐っ娘		Fox girl
狐		Fox
犯してもいいのよ		It's okay to commit crimes.
爆根		Bakukon
爆尻	ass-	Big butt
燃料漏れ		Fuel leak
煙草		Tobacco
無職転生		Unemployed Reincarnation
無彩限のファントム・ワールド		Myriad Colors Phantom World
無名(甲鉄城のカバネリ)	©	Anonymous (Kabaneri of the Iron Fortress)
無名		Anonymous
火影忍者		Hokage Ninja
瀬川泉	©	Izumi Segawa
潮吹		Squirting
潮っぱい	tit	Squirt oppai / Shio oppai
渡辺曜	©	You Watanabe
混合		Mixture
涼月すい		Suzutsuki Sui
涼宮ハルヒの憂鬱		The Melancholy of Haruhi Suzumiya
海冥獣姫スキュレイ		Scyllei, the Sea Beast Princess
浮き乳首	nip	Floating nipples
浜風(艦隊これくしょん)	©	Hamakaze (Kantai Collection)
流れ乳	milk	Flowing milk
泥岩		Mudstone
泣きぼくろ		Crying Bokuro
永久拘束		Permanent restraint
氷菓		Hyouka
水神小夜	©	Saya Mizukami
水着尿	uro swim	peeing in a swimsuit
水中		Underwater
水も滴るいい女		A good woman who drips with water
歩く18禁		Walking 18+
武蔵(艦隊これくしょん)	©	Musashi (Kantai Collection)
武器娘		Weapon girl
欲望の迷い子リリス		Lilith, the lost child of desire
櫻木真乃	©	Mano Sakuragi
櫻井桃華	©	Momoka Sakurai
機械		Machine
機動戦艦ナデシコ		Mobile Battleship Nadesico
樋口円香		Makka Higuchi
榛名	©	Haruna
極上の竿		Excellent rod
楊貴妃(Fate)	©	Yang Guifei (Fate)
検尿	uro	Urinalysis
格闘少女		Fighting girl
柔道		Judo
東方星蓮船		Eastern Star Lotus Ship
杜野凛世	©	Rinyo Morino
朝チュン	©	Asa Chun
服を着たポケモン	©	Pokémon wearing clothes
服の中で乳揉み	tit	Massage breasts under clothes
有村麻央	©	Mao Arimura
月曜日のたわわ		Monday Tawawa
月姫		Tsukihime
星野アイ	©	Hoshino Ai
星乃一歌	©	Ichika Hoshino
早乙女ベリー		Saotome Berry
新垣あやせ	©	Ayase Aragaki
断頭台のアウラ		Aura of the Guillotine
斥罪		Expulsion
敵女		Enemy woman
改造		Modification
描いてもいいのよ		You can draw it.
採尿	uro	Urine collection
排便	sca	Defecation
授業中おもらし	uro	Wetting ourselves during class
挿入ジェスチャー		Insert gesture
挿入		Insert
拷问		Torture
拭かない		Do not wipe
拉普兰德		Lapuuande
手でハート		Heart with hands
戦闘員、派遣します!		Combatants will be dispatched!
戦姫絶唱シンフォギア		Senki Zesshou Symphogear
愛撫		Caress
愛して!ほむん		Love me! Homun
悪魔の乳首	nip	Devil's nipples
恩雅		Elegy
性玩具		Sex toys
快楽責め		Pleasure torture
忍冬		Ninfuyu
心海		Shinkai
御坂美琴	©	Misaka Mikoto
後ろ姿	back-	Back view
後ろの存在感		Presence in the back
役小明	©	Yaku Koaki
強制		Forced
床ション		Floor section
年賀		New Year's card
帰忘の流離人		Forgotten exile
差分		Difference
巨大ヒロイン		Giant heroine
巨大クリトリス	clit	Giant clitoris
巨乳首	nip	Big nipples
巨乳/爆乳	tit-	Big breasts/huge breasts
工口		Work opening
川神舞		Kawagami dance
崩坏3		Collapse 3
山田杏奈	©	Anna Yamada
尿道カテーテル		Urethral catheter
尾張(アズールレーン)	©	Owari (Azur Lane)
尻フェチ	ass	Butt fetish
小鳥遊ホシノ	©	Kotoriyu Hoshino
小野塚小町	©	Komachi Onozuka
小新井りあす		Riasu Koai
宵宫	©	Yoi Miyako
安産型		Easy birth type
安城鳴子		Naruko Anjo
宇宙戦艦ヤマト2199		Space Battleship Yamato 2199
宇佐見菫子	©	Sumiko Usami
子宫脱		Chimiya Escape
姫島朱乃	©	Himejima Akeno
姉ヶ崎寧々	©	Anegasaki Nene
如月千早	©	Kisaragi Chihaya
女忍者		Female ninja
女子大生		Female college student
女子ボクシング		Women's boxing
女子		Girls
女天狗		Onna Tengu
失神		Fainting
天馬咲希	©	Saki Tenma
天童アリス	©	Tendo Alice
大鳳		Taiho
大量精液	cum	large amount of semen
大和	©	Yamato
夜蘭		Yoran
夕立(艦隊これくしょん)	©	Yudachi (Kantai Collection)
夏芽みのり	©	Natsume Minori
夏樹みくる	©	Mikuru Natsuki
変身解除		Transformation release
変身シーン		Transformation scene
変態仮面		Hentai Mask
壬生菊千代		Kikuchiyo Mibu
壬生終名		Mibu final name
城戸沙織		Saori Kido
地獄先生ぬ～べ～		Hell Teacher Nube
土方歳三(ドリフターズ)	©	Toshizo Hijikata (Drifters)
四季映姫・ヤマザナドゥ		Shiki Eihime/Yamazanadu
喷尿	uro mouth	Urine saliva
喫煙		Smoking
喉ボコ	throat	Sore throat
咲夜	©	Sakuya
咥え使用済みゴム		Used rubber grip
咥えながら舌出し	tongue	Put out tongue while sucking
和泉紗霧	©	Sagiri Izumi
和泉元エイミ		Eimi Izumimoto
向井拓海	©	Takumi Mukai
名探偵コナン		Detective Conan
古明地こいし		Komeiji Koishi
双頭ディルド		Double-headed dildo
厕所		House
卡提希娅		Kadhi Kiyomi
博麗神社例大祭		Hakurei Shrine Annual Festival
南ことり	©	Kotori Minami
卓上の乳	tit	Tabletop breasts
半裸		Half-naked
半ズボン		Shorts
千手綱手		Tsunade Senju
千咲(鳴潮)	©	Chisaki (Narushio)
千反田える		Eru Chitanda
北米版		North American version
包茎クリトリス	clit	Uncircumcised clitoris
匂いフェチ		Smell fetish
勇儀	©	Yugi
勃起		Erection
助っ人参上!!		Helping carrot top!!
創作男女		Creative men and women
剣奴レイシャ		Swordman Reisha
剣の乙女		Sword Maiden
前髪テール		Bangs tail
前張り		Front upholstery
刑部姫		Gyobuhime
切り傷		Cuts
処女喪失		Loss of virginity
凍京NECRO		Kyokyo NECRO
凌遲		Ling Li
冬コミ		Winter comic
八意の乳	tit	Yai's breasts
全学園彼女		All school girlfriends
入浴		Bathing
先斗寧		Ning Ponto
催眠なんてかからない!!!		No hypnosis!!!
倉持めると		If you can hold a warehouse
例大祭13		Reitaisai 13
例大祭10		Reitaisai 10
何してもいいのよ		You can do whatever you want.
伏臥		Lying prone
伊良知世		Tomoyo Ira
伊吹翼		Tsubasa Ibuki
伊勢		Ise
伊19		Italy 19
仲良く立ちション		Standing together
仙子		Senko
今汐		Imashio
人間灰皿		Human ashtray
人権放棄		Abandonment of human rights
人前おしっこ	uro	Peeing in public
人ってただの筒じゃないですか		Aren't people just tubes?
交尾結合		Mating union
五十鈴	©	Isuzu
云璃	not_solo yuri	Yuri
二次元女体化してやったー		I made it into a two-dimensional female body.
二の腕		Upper arm
亀頭責め		Glans torture
亀頭舐め	tongue	Glans licking
亀甲縛り		Tortoise shell binding
乳首引っ張り	nip	Nipple pulling
乳首コンドーム	nip	Nipple condom
乳首カリカリ	nip	Crispy nipples
乳輪チラ	nip	Areola sneak peek
乳狐	fantasy milk	Milk fox
乳房豊かなポーカーフェイス	tit	Poker face with rich breasts
乳巫女	costume milk	Milk Priestess
乳交	tit	Breast intercourse
乳お燐ズ		Nyuu Rinzu
久田イズナ	©	Izuna Hisada
丸呑み		Swallowing
串刺しファック	ryona insert	Skewer fuck
中野二乃		Nino Nakano
中谷育	©	Iku Nakatani
中学生		Junior high school student
不潔		Unclean
三角型		Triangular shape
三月七		March 7th
一条莉々華	©	Ririka Ichijo
一回～円		One time ~ yen
ヴァニラウェア		Vanillaware
ワルピーチ	©	Wapeach
ワカモ(ブルーアーカイブ)	©	Wakamo (Blue Archive)
ワイルドアームズ		Wild Arms
ローライズ		Low rise
ロート精液	cum	cum in funnel - Semen in funnel
ローゼン	©	Rosen
ロングヘア―		Long hair
ロリコン	loli	Lolicon
ロリおね		Lori One
ロビン	©	Robin
ロケット貧乳	tit	Rocket small breasts
ロケット団		Team Rocket
レーベル(勝利の女神:NIKKE)	©	Label (Goddess of Victory: NIKKE)
レゼ		Reze
レズドム		Lesdom
レオタードアンダーパンツ		Leotard underpants
レインボー・ミカ	©	Rainbow Mika
レイチェル		Rachel
ルリナ(トレーナー)	©	Nessa (Trainer)
ルザミーネ		Lusamine
リーフィア		Leafeon
リーファ		Leafa
リコちゃん	©	Riko-chan
リィン(アークナイツ)	©	Lin (Arknights)
ララ		Lara
ラム(リゼロ)	©	Lum (Re:Zero)
ラビットホール		Rabbit Hole
ラビアピアス	pussy pierc	Labia piercing
ラッキースケベ		Lucky lewd
ラクガキ		Doodles
ラオーラ・パンテーラ		Laora Pantera
ライダースーツ		Rider suit
ライザ		Riser
ユフィ・キサラギ	©	Yuffie Kisaragi
モンスト		Monster Strike
モンスターストライク		Monster Strike
モンスター		Monster
メトロイド		Metroid
メス犬	beast	Female dog
メガネっ娘		Glasses girl
メガテン		Megaten
メイナ		Maina
メイドさん		Maid
メイぱい		Meipai
ミレーユ	©	Mireille
ミイラ		Mummy
マーシャルチャンピオン		Marshall Champion
マント		Cloak
マンコ	pussy	Pussy
マリア・カデンツァヴナ・イヴ		Maria Cadenzavna Eve
ママショタ		Mama Shota
マビノギ		Mabinogi
マドロック(アークナイツ)	©	Madrock (Arknights)
マジカルプリンセス		Magical Princess
マコト=ナナヤ	©	Makoto Nanaya
マコト	©	Makoto
マギサ	©	Magisa
マイリトルポニー	tm	My Little Pony
マイクロミニスカート		Micro mini skirt
ポニテ		Ponytail
ポケ擬		Poke pseudo
ポケスペ	©	Pokéspe
ボルチモア(アズールレーン)	©	Baltimore (Azur Lane)
ボトムレス	open-	Bottomless
ボディーピアス	pierc	Body piercing
ボカロ	©	Vocaloid
ホロ		Holo
ペンギー(グラブル)	©	Pengy (Granblue Fantasy)
ペリーヌ・クロステルマン		Perine Closterman
ペリカ(エンドフィールド)	©	Perica (Endfield)
ペニスギャグ	dick	Penis gag
ペニス	dick	Penis
ペド		Pedo
ペディキュア		Pedicure
ベト子		Betoko
ベゼアズ		Bezeaz
ベアトリクス	©	Beatrix
ヘッドホン		Headphones
プリンス・オブ・ウェールズ		Prince of Wales
プリティーシリーズ		Pretty series
プラナ(ブルーアーカイブ)	©	Prana (Blue Archive)
プラチナ(アークナイツ)	©	Platinum (Arknights)
ブリッド(勝利の女神:NIKKE)	©	Bride (Goddess of Victory: NIKKE)
ブラダマンテ		Bradamante
ブラウンダスト2	tm	Brown Dust 2
ロンググローブ	wear-	Long gloves (Katakana variation)
フタナリ		Futanari
フェイスベール		Face veil
フィアメッタ(アークナイツ)	©	Fiametta (Arknights)
ファンタジスタドール		Fantasista Doll
ファッション		Fashion
ファイナルファンタジーVII	tm	Final Fantasy VII
ファイナルファンタジー14	tm	Final Fantasy 14
ピンク髪ロング		Long pink hair
ピンクパンツ		Pink pants
ビアンカ	©	Bianca
パンヤ		Panya
パンク		Punk
パワー(チェンソーマン)	©	Power (Chainsaw Man)
パプル		Papple
パパ活		Dad life
パイン(ボンバーガール)	©	Pine (Bomber Girl)
パイモン(マギ)	©	Paimon (Magi)
バーバラ	©	Barbara
バーサーかわいい		Birther cute
バイブINパンツに定評のある柚宮MoNo		Yuzumiya MoNo has a reputation for vibe IN pants
ハートキャッチプリキュア		Heartcatch Precure
ハン・ジュリ		Han Juri
ハゲ頭		Bald head
ハイセンス		Hisense
ニーナ	©	Nina
ニトクリス(Fate)	©	Nitocris (Fate)
ニコ・ロビン	©	Nico Robin
ナヒーダ		Naheeda
ドリル責め		Drill torture
ドリクラ		Doricula
ドラフ		Draft
ドキプリ		Dokipuri
トレス素材		Trace material
トリニティセブン		Trinity Seven
デスティニーチャイルド		Destiny Child
デカ尻	ass-	Big butt
デカクリ	clit	Big clitoris
デイジー姫	©	Princess Daisy
テンタクルズ		Tentacles
テニス		Tennis
ティーンのヤルキ!		Teen Yaruki!
チルノ		Cirno
ダーリン・イン・ザ・フランキス		Darling in the Franxx
ダブルギャグ		Double gag
タバコ		Tobacco
タイリクオオカミ(けものフレンズ)	©	Eurasian Wolf (Kemono Friends)
ゾン100		Zon 100
ソープランド		Soapland
ソープ		Soap
ソロモン72柱		72 pillars of Solomon
ソフィア	©	Sofia
ソニック	©	Sonic
ゼロツー		Zero Two
ゼルダ	©	Zelda
ゼノブレイド3		Xenoblade 3
ゼクスファクター		XX Factor
セルフフェラ	mouth dick	Self blow job
セリス		Cerys
セラムン	©	Seramun
スレイヤーズ		Slayers
スリングショット水着	swim expose	Slingshot swimsuit
スポーツブラ		Sports bra
スプラトゥーン2	tm	Splatoon 2
スピカ		Spica
スターオーシャン		Star Ocean
ススーロ(アークナイツ)	©	Sussurro (Arknights)
スカルガールズ		Skullgirls
スイレンママ		Waterlily Mama
ジュビア・ロクサー		Juvia Roxor
ジャージ		Jersey
ジャベリン(アズールレーン)	©	Javelin (Azur Lane)
シー(アークナイツ)	©	Shee (Arknights)
シンフォギア		Symphogear
シンデレラガールズ		Cinderella Girls
シロコ*テラー	©	Shiroko*Terror
ショタ提督		Admiral Shota
シャープペンシル		Mechanical pencil
シャープペン		Mechanical pencil
シスター服		Sister clothes
シオリ・ノヴェラ		Cioli Novella
ザーメンマスク	cum	mask cum - Semen mask
ザーメンブリッジ	cum	cum string - Semen Bridge
ザンニー		Zanny
サークル10周年記念本		Circle 10th Anniversary Book
サンディ・バッシュ		Sandy Bash
サラ(GBD)	©	Sara (GBD)
サフェル		Safel
サスペンダー		Suspenders
コンドーム髪留め		Condom hair clip
コロンビーナ(原神)	©	Columbina (Genshin Impact)
コミックマーケット96	event	Comic Market 96
コスプレイヤー		Cosplayer
コウテイペンギン		Emperor Penguin
コウテイオッパイ	tit	Koutei breasts
ケーブルニット		Cable knit
ケモナー		Kemoner
グレンツェ		Grenze
グレイシア		Glaceon
グラーフ・ツェッペリン(アズールレーン)	©	Graf Zeppelin (Azur Lane)
クールビューティー		Cool Beauty
クレオパトラ(アズールレーン)	©	Cleopatra (Azur Lane)
クレイ(勝利の女神:NIKKE)	©	Clay (Goddess of Victory: NIKKE)
クリスマス限定みんなの彼女		Christmas limited Minna no Kanojo
クリスタル(スターフォックス)	©	Crystal (Star Fox)
クリスタル		Crystal
クラリス	©	Clarice
クラウド		Cloud
ギャル化		Gal status
キルタイムコミュニケーション		Kill time communication
キリン装備		Kirin equipment
キュアブラック		Cure Black
キュアハート		Cure Heart
キャル(プリコネ)	©	Kyaru (Princess Connect)
キャル	©	Cal
キャミィ・ホワイト	©	Cammy White
キスマーク		Hickey
キサキ(ブルーアーカイブ)	©	Kisaki (Blue Archive)
ガスマスク		Gas mask
ガイノイド		Gynoid
カーマ		Karma
カードキャプターさくら	©	Cardcaptor Sakura
カメラさんもうちょっと下		Camera is a little lower
カプレカ		Kapreka
カジノ		Casino
カイニス(Fate)	©	Caenis (Fate)
オープンフィンガーグローブ		Open finger gloves
オークション		Auction
オリジナル作品	oc	Original works
オマンコ	pussy	Pussy
オイルマッサージ		Oil massage
エログロ	guro	Eroguro
エリシア(崩壊3rd)	©	Elysia (Honkai Impact 3rd)
エフイーター(アークナイツ)	©	Eff Eater (Arknights)
エクセル・サーガ		Excel Saga
エクエストリアガールズ		Equestria Girls
ウルトラヒロイン		Ultra Heroine
ウタゲ(アークナイツ)	©	Utage (Arknights)
イヴリン・シェヴァリエ	©	Evelyn Chevalier
